scraproduct_name,product_price,product_rating
RENDANG PAK MAN PASTE (ORIGINAL MELAKA),4.50,0
ASAM PEDAS PAK MAN (SOUR AND SPICY) PASTE (ORIGINAL MELAKA),3.00,0
100% Pure Ceylon Cinnamon Powder in Glass Bottle (40g),4.80,0
Sambal Bílis Moringa (Crunchy Anchovy Sambal),3.50,0
Garlic Chili Sauce,2.00,0
Quality Dried Anchovies (250gram/pack),6.00,0
Mustika Ratu Medication Ointment Minyak Telon – 60ML,1.85,0
100% Pure Tualang Wild Rainforest Honey,15.00,0
Zestea Black Tea with Ginger,6.00,0
Daily Pappadam/Appalam (100 gms),1.15,0
Body scrub (50 gm) & natural deodorant (60 gm),14.00,0
Shawl RTW Mardhiyah,14.00,0
CONUTS INSTANT COCONUT WATER DRINK,5.00,0
CONUTS INSTANT COCONUT WATER DRINK,5.00,0
CONUTS INSTANT COCONUT WATER DRINK,,0
CONUTS INSTANT COCONUT WATER DRINK,5.00,0
CONUTS INSTANT COCONUT WATER DRINK,5.00,0
Fish Curry Powder 100 gm by Abby’s Healthy,1.00,0
Telekung Stalista (Prayer Gown),49.00,0
SHREE SPICES Chicken Curry Powder (250g) The Taste of Real Curry!,3.60,0
MRM Perfumes Air Freshener (Hanging Diffuser),3.00,0
MRM Perfumes Air Freshener (Hanging Diffuser),3.00,0
MRM Perfumes Air Freshener (Hanging Diffuser),3.00,0
MRM Perfumes Air Freshener (Hanging Diffuser),3.00,0
MRM Perfumes Air Freshener (Hanging Diffuser),3.00,0
MRM Perfumes Air Freshener (Hanging Diffuser),3.00,0
Sugardollbynn Hair and Skin Vitamin and Intensive Hair Tonic (Basic Set),35.00,0
CONUTS INSTANT COCONUT WATER DRINK,5.00,0
DAGING DENDENG BELLE,4.57,0
Khalish Brain Junior (120 tablets/per bottle),29.00,0
Asam Pedas Paste (250 gm) by NIXMART,5.00,0
Tiger Head Brand Prawn Cracker (RAW）Halal 500g,9.00,0
Botanical Spice Tea,9.90,0
5 Pillars Of Islam Board Game,40.00,0
Telekung De Humaira Navy in Camelia,44.00,0
Marini Naturalemagic Shampoo Pandan & Lemongrass (250ml),10.00,0
COCOA PARADISE – Chocolate Bath,20.00,0
Sambal Ikan Bilis Cik Milah,5.00,0
‘FREENABEAUTY’ Coffee Body Scrub,12.00,0
Nutrifera 3-in-1 Hair Treatment Set,14.00,0
Khat Home Panel Decoration,24.00,0
Balqish Fabric Perfume 6 in 1 Home Use (250 ml),4.00,0
Miss Dodol,4.00,0
Zaisara Tat Nenas Bunga ( Flower Pineapple Tart),7.60,0
Zaisara Tat Nenas Gulung ( Rolled Pineapple Tart),7.20,0
Traditional Malaysian Fluffy Coconut Cookies,5.00,0
KUCATE – HERBAL TEA DRINK,15.00,0
KUCATE – HERBAL TEA DRINK,15.00,0
KUCATE – HERBAL TEA DRINK,15.00,0
KUCATE – HERBAL TEA DRINK,15.00,0
Traditional Malaysian Peanut Butter Cookies,6.00,0
